CustomerID,CompanyName,Industry,Country,City,EmployeeCount,SignupDate,AcquisitionChannel,TotalMRR,Seats,Plan,Status,Logins,SessionMinutes,Tickets,Satisfaction,TenureMonths,RevenuePerSeat,TicketsPerMonth,Outlier
C1001,Ishaan Joshi Systems,Unknown,India,Hyderabad,80.0,2023-07-02,Paid Ads,278.6,6.0,Growth,Churned,9.25,140.0875,4.0,6.5,39.13333333333333,46.43333333333334,0.10221465076660988,False
C1002,Tara Sharma Technologies,Finance,Uk,London,12.0,2024-02-21,Referral,246.76,4.0,Growth,Active,19.727272727272727,274.6454545454545,4.0,7.0,31.333333333333332,61.69,0.12765957446808512,False
C1003,Zoya Das Systems,Finance,Uae,Dubai,1200.0,2023-09-12,Organic Search,278.6,6.0,Growth,Active,11.6875,295.8875,3.0,3.0,36.733333333333334,46.43333333333334,0.08166969147005444,False
C1004,Diya Joshi Labs,Retail,Uk,Manchester,400.0,2024-03-01,Partner,80.36,9.0,Starter,Active,8.2,253.0,,,31.033333333333335,8.928888888888888,,False
C1005,Tara Joshi Systems,Logistics,Uk,London,1200.0,2023-12-29,Outbound,618.76,4.0,Business,Churned,10.23076923076923,161.69230769230768,3.0,6.0,33.13333333333333,154.69,0.09054325955734406,False
C1006,Sanjay Reddy Labs,Manufacturing,India,Hyderabad,35.0,2024-09-15,Organic Search,1618.92,2.0,Enterprise,Active,21.5,194.55,3.0,6.0,24.433333333333334,809.46,0.12278308321964529,False
C1007,Sai Das Technologies,Logistics,India,Delhi,12.0,2023-03-26,Referral,658.68,5.0,Business,Active,5.318181818181818,262.67727272727274,2.0,8.5,42.4,131.736,0.04716981132075472,False
C1008,Nikita Gupta Solutions,Logistics,Uae,Abu Dhabi,400.0,2024-02-21,Paid Ads,818.36,9.0,Business,Active,14.090909090909092,262.02727272727276,2.0,7.5,31.333333333333332,90.92888888888889,0.06382978723404256,False
C1009,Rohan Patel Technologies,Education,Uae,Abu Dhabi,3000.0,2023-07-27,Outbound,2098.6,6.0,Enterprise,Active,12.222222222222221,276.29999999999995,4.0,5.75,38.3,349.76666666666665,0.10443864229765014,True
C1010,Tara Iyer Labs,Manufacturing,India,Pune,12.0,2023-11-15,Partner,278.6,6.0,Growth,Churned,13.5,167.43333333333334,6.0,5.333333333333333,34.6,46.43333333333334,0.17341040462427745,False
C1011,Rohan Iyer Solutions,Retail,Uae,Dubai,400.0,2023-05-11,Organic Search,262.68,5.0,Growth,Active,4.8,260.665,2.0,4.5,40.86666666666667,52.536,0.048939641109298535,False
C1012,Meera Patel Labs,Healthcare,Uae,Dubai,35.0,2023-02-15,Events,1978.68,5.0,Enterprise,Churned,1.4,171.53,1.0,5.0,43.7,395.736,0.02288329519450801,True
C1013,Farhan Das Industries,Retail,Uk,London,12.0,2024-12-10,Organic Search,1931.28,11.0,Starter,Active,0.0,242.1,1.0,6.0,21.566666666666666,175.57090909090908,0.04636785162287481,True
C1014,Rahul Patel Industries,Media,India,Chennai,1200.0,2024-07-10,Partner,68.6,6.0,Starter,Active,6.166666666666667,279.0833333333333,2.0,6.0,26.666666666666668,11.433333333333332,0.075,False
C1015,Sanjay Gupta Industries,Finance,India,Mumbai,35.0,2024-01-15,Partner,246.76,4.0,Growth,Active,5.083333333333333,263.19166666666666,3.0,5.0,32.56666666666667,61.69,0.09211873080859774,False
C1016,Diya Singh Industries,Media,Uk,Manchester,35.0,2024-01-16,Paid Ads,978.04,13.0,Business,Churned,3.1666666666666665,143.39166666666668,4.0,6.5,32.53333333333333,75.23384615384614,0.12295081967213116,False
C1017,Rahul Reddy Solutions,Unknown,Usa,Seattle,12.0,2024-06-05,Paid Ads,60.76,4.0,Starter,Active,3.4285714285714284,261.31428571428575,3.0,4.0,27.833333333333332,15.19,0.10778443113772455,False
