Cohort,MonthNo,ActiveCustomers,CohortSize,RetentionRate
2023-01,0,11,11,100.0
2023-01,1,11,11,100.0
2023-01,2,11,11,100.0
2023-01,3,11,11,100.0
2023-01,4,11,11,100.0
2023-01,5,11,11,100.0
2023-01,6,11,11,100.0
2023-01,7,11,11,100.0
2023-01,8,11,11,100.0
2023-01,9,11,11,100.0
2023-01,10,11,11,100.0
2023-01,11,11,11,100.0
2023-01,12,11,11,100.0
2023-01,13,11,11,100.0
2023-01,14,11,11,100.0
2023-01,15,11,11,100.0
2023-01,16,11,11,100.0
2023-01,17,11,11,100.0
2023-01,18,11,11,100.0
2023-01,19,10,11,90.91
2023-01,20,10,11,90.91
2023-01,21,10,11,90.91
2023-01,22,10,11,90.91
2023-01,23,10,11,90.91
2023-02,0,16,16,100.0
2023-02,1,16,16,100.0
2023-02,2,16,16,100.0
2023-02,3,16,16,100.0
2023-02,4,16,16,100.0
2023-02,5,15,16,93.75
2023-02,6,15,16,93.75
2023-02,7,15,16,93.75
2023-02,8,15,16,93.75
2023-02,9,15,16,93.75
2023-02,10,14,16,87.5
2023-02,11,14,16,87.5
2023-02,12,14,16,87.5
2023-02,13,13,16,81.25
2023-02,14,13,16,81.25
2023-02,15,13,16,81.25
2023-02,16,12,16,75.0
2023-02,17,12,16,75.0
2023-02,18,12,16,75.0
2023-02,19,12,16,75.0
2023-02,20,12,16,75.0
2023-02,21,12,16,75.0
2023-02,22,12,16,75.0
2023-03,0,19,19,100.0
2023-03,1,19,19,100.0
2023-03,2,19,19,100.0
2023-03,3,19,19,100.0
2023-03,4,18,19,94.74
2023-03,5,16,19,84.21
2023-03,6,16,19,84.21
2023-03,7,17,19,89.47
2023-03,8,17,19,89.47
2023-03,9,17,19,89.47
2023-03,10,17,19,89.47
2023-03,11,17,19,89.47
2023-03,12,16,19,84.21
2023-03,13,16,19,84.21
2023-03,14,16,19,84.21
2023-03,15,16,19,84.21
2023-03,16,16,19,84.21
2023-03,17,16,19,84.21
2023-03,18,15,19,78.95
2023-03,19,15,19,78.95
2023-03,20,15,19,78.95
2023-03,21,15,19,78.95
2023-04,0,19,19,100.0
2023-04,1,19,19,100.0
2023-04,2,18,19,94.74
2023-04,3,18,19,94.74
2023-04,4,18,19,94.74
2023-04,5,18,19,94.74
2023-04,6,18,19,94.74
2023-04,7,18,19,94.74
2023-04,8,18,19,94.74
2023-04,9,18,19,94.74
2023-04,10,18,19,94.74
2023-04,11,18,19,94.74
2023-04,12,18,19,94.74
2023-04,13,18,19,94.74
2023-04,14,18,19,94.74
2023-04,15,18,19,94.74
2023-04,16,18,19,94.74
2023-04,17,18,19,94.74
2023-04,18,18,19,94.74
2023-04,19,18,19,94.74
2023-04,20,18,19,94.74
2023-05,0,25,25,100.0
2023-05,1,25,25,100.0
2023-05,2,25,25,100.0
2023-05,3,25,25,100.0
2023-05,4,24,25,96.0
2023-05,5,24,25,96.0
2023-05,6,23,25,92.0
2023-05,7,23,25,92.0
2023-05,8,23,25,92.0
2023-05,9,23,25,92.0
2023-05,10,22,25,88.0
2023-05,11,22,25,88.0
2023-05,12,21,25,84.0
2023-05,13,21,25,84.0
2023-05,14,19,25,76.0
2023-05,15,18,25,72.0
2023-05,16,17,25,68.0
2023-05,17,17,25,68.0
2023-05,18,17,25,68.0
2023-05,19,17,25,68.0
2023-06,0,16,16,100.0
2023-06,1,16,16,100.0
2023-06,2,16,16,100.0
2023-06,3,15,16,93.75
2023-06,4,15,16,93.75
2023-06,5,15,16,93.75
2023-06,6,15,16,93.75
2023-06,7,15,16,93.75
2023-06,8,14,16,87.5
2023-06,9,14,16,87.5
2023-06,10,13,16,81.25
2023-06,11,13,16,81.25
2023-06,12,13,16,81.25
2023-06,13,13,16,81.25
2023-06,14,12,16,75.0
2023-06,15,12,16,75.0
2023-06,16,12,16,75.0
2023-06,17,12,16,75.0
2023-06,18,12,16,75.0
2023-07,0,20,20,100.0
2023-07,1,20,20,100.0
2023-07,2,20,20,100.0
2023-07,3,20,20,100.0
2023-07,4,20,20,100.0
2023-07,5,20,20,100.0
2023-07,6,19,20,95.0
2023-07,7,20,20,100.0
2023-07,8,19,20,95.0
2023-07,9,19,20,95.0
2023-07,10,19,20,95.0
2023-07,11,19,20,95.0
2023-07,12,18,20,90.0
2023-07,13,18,20,90.0
2023-07,14,18,20,90.0
2023-07,15,18,20,90.0
2023-07,16,15,20,75.0
2023-07,17,12,20,60.0
2023-08,0,16,16,100.0
2023-08,1,16,16,100.0
2023-08,2,16,16,100.0
2023-08,3,16,16,100.0
2023-08,4,16,16,100.0
2023-08,5,16,16,100.0
2023-08,6,15,16,93.75
2023-08,7,14,16,87.5
2023-08,8,13,16,81.25
2023-08,9,13,16,81.25
2023-08,10,13,16,81.25
2023-08,11,12,16,75.0
2023-08,12,12,16,75.0
2023-08,13,12,16,75.0
2023-08,14,12,16,75.0
2023-08,15,12,16,75.0
2023-08,16,12,16,75.0
2023-09,0,15,15,100.0
2023-09,1,15,15,100.0
2023-09,2,15,15,100.0
2023-09,3,15,15,100.0
2023-09,4,15,15,100.0
