MonthNo,ActiveCustomers,RetentionRate
0,406,96.67
1,392,93.33
2,372,88.57
3,352,83.81
4,331,78.81
5,298,70.95
6,276,65.71
7,258,61.43
8,239,56.9
9,227,54.05
10,203,48.33
11,186,44.29
12,172,40.95
13,159,37.86
14,145,34.52
15,131,31.19
16,113,26.9
17,98,23.33
18,85,20.24
19,72,17.14
20,55,13.1
21,37,8.81
22,22,5.24
23,10,2.38
24291,1,0.24
24292,1,0.24
24293,1,0.24
24294,1,0.24
24295,1,0.24
24296,1,0.24
24297,1,0.24
24298,1,0.24
24299,2,0.48
24300,2,0.48
24301,2,0.48
24302,2,0.48
24303,2,0.48
24304,3,0.71
24305,5,1.19
24306,5,1.19
24307,5,1.19
24308,5,1.19
24309,5,1.19
24310,5,1.19
24311,5,1.19
24312,5,1.19
24313,5,1.19
