Cohort,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2023-01,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,90.91,90.91,90.91,90.91,90.91
2023-02,100.0,100.0,100.0,100.0,100.0,93.75,93.75,93.75,93.75,93.75,87.5,87.5,87.5,81.25,81.25,81.25,75.0,75.0,75.0,75.0,75.0,75.0,75.0,
2023-03,100.0,100.0,100.0,100.0,94.74,84.21,84.21,89.47,89.47,89.47,89.47,89.47,84.21,84.21,84.21,84.21,84.21,84.21,78.95,78.95,78.95,78.95,,
2023-04,100.0,100.0,94.74,94.74,94.74,94.74,94.74,94.74,94.74,94.74,94.74,94.74,94.74,94.74,94.74,94.74,94.74,94.74,94.74,94.74,94.74,,,
2023-05,100.0,100.0,100.0,100.0,96.0,96.0,92.0,92.0,92.0,92.0,88.0,88.0,84.0,84.0,76.0,72.0,68.0,68.0,68.0,68.0,,,,
2023-06,100.0,100.0,100.0,93.75,93.75,93.75,93.75,93.75,87.5,87.5,81.25,81.25,81.25,81.25,75.0,75.0,75.0,75.0,75.0,,,,,
2023-07,100.0,100.0,100.0,100.0,100.0,100.0,95.0,100.0,95.0,95.0,95.0,95.0,90.0,90.0,90.0,90.0,75.0,60.0,,,,,,
2023-08,100.0,100.0,100.0,100.0,100.0,100.0,93.75,87.5,81.25,81.25,81.25,75.0,75.0,75.0,75.0,75.0,75.0,,,,,,,
2023-09,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,93.33,93.33,86.67,,,,,,,,
2023-10,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,92.31,92.31,92.31,,,,,,,,,
2023-11,100.0,100.0,100.0,100.0,93.33,93.33,80.0,80.0,80.0,80.0,80.0,80.0,73.33,73.33,,,,,,,,,,
2023-12,100.0,100.0,100.0,100.0,100.0,100.0,88.24,76.47,70.59,70.59,70.59,64.71,64.71,,,,,,,,,,,
2024-01,100.0,100.0,100.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,,,,,,,,,,,,
2024-02,100.0,100.0,100.0,100.0,100.0,93.75,93.75,93.75,93.75,93.75,93.75,,,,,,,,,,,,,
2024-03,100.0,100.0,100.0,100.0,91.67,87.5,87.5,87.5,87.5,87.5,,,,,,,,,,,,,,
2024-04,100.0,100.0,100.0,100.0,100.0,92.86,92.86,92.86,85.71,,,,,,,,,,,,,,,
2024-05,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,,,,,,,,,,,
2024-06,100.0,100.0,100.0,100.0,100.0,94.44,94.44,,,,,,,,,,,,,,,,,
2024-07,100.0,100.0,100.0,100.0,93.75,93.75,,,,,,,,,,,,,,,,,,
2024-08,100.0,100.0,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,,
2024-09,100.0,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,
2024-10,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,
2024-11,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,
2024-12,100.0,,,,,,,,,,,,,,,,,,,,,,,
