CustomerID,CompanyName,TotalMRR,Logins,ActiveUsers,SessionMinutes,TicketCount,Satisfaction,RiskScore,RiskLevel
C1038,Sneha Menon Industries,246.76,5.071428571428571,2.7142857142857144,134.1357142857143,4,4.25,100,Critical
C1287,Farhan Nair Industries,230.84,2.3333333333333335,0.6,145.67999999999998,4,4.25,100,Critical
C1182,Arun Menon Labs,1978.68,2.3125,0.875,156.73125,4,3.75,100,Critical
C1398,Zoya Rao Group,326.36,3.4166666666666665,1.25,160.57500000000002,4,4.75,100,Critical
C1378,Sneha Reddy Solutions,383.20000000000005,1.6428571428571428,0.5,151.92142857142858,4,3.0,100,Critical
C1063,Rahul Menon Systems,56.84,5.2,2.5,146.06,4,4.75,100,Critical
C1056,Kavya Rao Systems,658.68,2.3333333333333335,1.0,280.2833333333333,4,4.5,80,Critical
C1281,Farhan Das Group,2098.6,2.125,0.5,173.075,2,3.0,80,Critical
C1265,Aditya Reddy Solutions,294.52,4.2,2.2666666666666666,247.05333333333334,4,3.25,80,Critical
C1385,Vihaan Das Group,2218.52,1.5,0.5,77.94999999999999,5,5.2,80,Critical
