CustomerID,CompanyName,Industry,TotalMRR
C1049,"Farhan Gupta Labs",Education,4676.88
C1194,"Zoya Bose Group",Retail,3957.3599999999997
C1395,"Deepak Patel Labs",Education,3177.88
C1103,"Pooja Menon Group",Retail,3057.96
C1144,"Aditya Sharma Technologies",Media,2698.2
C1242,"Deepak Bose Group",Finance,2648.88
C1034,"Sneha Rao Industries",Healthcare,2578.28
C1045,"Kavya Verma Solutions",Retail,2578.28
C1113,"Riya Iyer Technologies",Healthcare,2578.28
C1195,"Aman Gupta Labs",Finance,2578.28
C1290,"Riya Singh Systems",Manufacturing,2578.28
C1352,"Aditya Patel Industries",Manufacturing,2578.28
C1076,"Arun Khan Labs",Education,2542.6400000000003
C1412,"Farhan Verma Solutions",Manufacturing,2534.8
C1030,"Rohan Bose Solutions",Finance,2458.36
C1308,"Naveen Gupta Labs",Unknown,2458.36
C1324,"Karthik Reddy Technologies",Media,2458.36
C1349,"Krishna Joshi Systems",Finance,2458.36
C1166,"Deepak Joshi Industries",Education,2338.44
C1204,"Aman Reddy Systems",Manufacturing,2338.44
C1263,"Deepak Reddy Industries",Media,2338.44
C1325,"Ishaan Reddy Group",Healthcare,2338.44
C1102,"Deepak Iyer Solutions",Retail,2218.52
C1156,"Diya Sharma Technologies",Retail,2218.52
C1198,"Ananya Sharma Labs",Finance,2218.52
C1272,"Pooja Joshi Industries",Finance,2218.52
C1341,"Isha Singh Group",Healthcare,2218.52
C1381,"Diya Nair Systems",Media,2218.52
C1385,"Vihaan Das Group",Logistics,2218.52
C1009,"Rohan Patel Technologies",Education,2098.6
C1018,"Myra Khan Systems",Finance,2098.6
C1100,"Priya Gupta Solutions",Healthcare,2098.6
C1155,"Naveen Verma Technologies",Manufacturing,2098.6
C1162,"Divya Nair Technologies",Logistics,2098.6
C1241,"Rohan Iyer Group",Healthcare,2098.6
C1252,"Meera Sharma Industries",Media,2098.6
C1267,"Nikita Rao Industries",Retail,2098.6
C1281,"Farhan Das Group",Finance,2098.6
C1327,"Nikita Menon Group",Media,2098.6
C1369,"Meera Reddy Industries",Retail,2098.6
C1384,"Arjun Joshi Technologies",Finance,2098.6
C1012,"Meera Patel Labs",Healthcare,1978.68
C1035,"Arjun Gupta Industries",Unknown,1978.68
C1037,"Diya Das Industries",Education,1978.68
C1149,"Vivaan Verma Technologies",Logistics,1978.68
C1182,"Arun Menon Labs",Finance,1978.68
C1250,"Sai Rao Industries",Finance,1978.68
C1256,"Sai Gupta Technologies",Media,1978.68
C1261,"Reyansh Menon Labs",Retail,1978.68
C1282,"Nikita Menon Solutions",Healthcare,1978.68
C1284,"Zoya Das Group",Retail,1978.68
C1313,"Krishna Joshi Solutions",Manufacturing,1978.68
C1334,"Sai Menon Group",Manufacturing,1978.68
C1350,"Deepak Gupta Labs",Education,1978.68
C1364,"Aarav Bose Labs",Manufacturing,1978.68
C1013,"Farhan Das Industries",Retail,1931.28
C1094,"Isha Nair Solutions",Retail,1858.76
C1121,"Ishaan Singh Group",Logistics,1858.76
C1201,"Naveen Patel Labs",Manufacturing,1858.76
C1217,"Sai Iyer Industries",Logistics,1858.76
C1257,"Vihaan Patel Solutions",Manufacturing,1858.76
C1050,"Arun Khan Solutions",Retail,1825.3600000000001
C1239,"Pooja Nair Solutions",Manufacturing,1738.84
C1006,"Sanjay Reddy Labs",Manufacturing,1618.92
C1288,"Kiara Das Labs",Retail,1618.92
C1380,"Ishaan Reddy Labs",Media,1618.92
C1275,"Nikita Verma Technologies",Logistics,1499
C1202,"Karthik Iyer Labs",Finance,1112.88
C1230,"Ishaan Patel Industries",Retail,1009.04
C1016,"Diya Singh Industries",Media,978.04
C1397,"Divya Reddy Group",Logistics,938.12
C1065,"Priya Verma Systems",Education,898.2
C1224,"Isha Patel Technologies",Manufacturing,898.2
