CustomerID,CompanyName,TotalMRR,CustomerValue
C1049,"Farhan Gupta Labs",4676.88,"High Value"
C1194,"Zoya Bose Group",3957.3599999999997,"High Value"
C1395,"Deepak Patel Labs",3177.88,"High Value"
C1103,"Pooja Menon Group",3057.96,"High Value"
C1144,"Aditya Sharma Technologies",2698.2,"High Value"
C1242,"Deepak Bose Group",2648.88,"High Value"
C1034,"Sneha Rao Industries",2578.28,"High Value"
C1045,"Kavya Verma Solutions",2578.28,"High Value"
C1113,"Riya Iyer Technologies",2578.28,"High Value"
C1195,"Aman Gupta Labs",2578.28,"High Value"
C1290,"Riya Singh Systems",2578.28,"High Value"
C1352,"Aditya Patel Industries",2578.28,"High Value"
C1076,"Arun Khan Labs",2542.6400000000003,"High Value"
C1412,"Farhan Verma Solutions",2534.8,"High Value"
C1030,"Rohan Bose Solutions",2458.36,"High Value"
C1308,"Naveen Gupta Labs",2458.36,"High Value"
C1324,"Karthik Reddy Technologies",2458.36,"High Value"
C1349,"Krishna Joshi Systems",2458.36,"High Value"
C1166,"Deepak Joshi Industries",2338.44,"High Value"
C1204,"Aman Reddy Systems",2338.44,"High Value"
C1263,"Deepak Reddy Industries",2338.44,"High Value"
C1325,"Ishaan Reddy Group",2338.44,"High Value"
C1102,"Deepak Iyer Solutions",2218.52,"High Value"
C1156,"Diya Sharma Technologies",2218.52,"High Value"
C1198,"Ananya Sharma Labs",2218.52,"High Value"
C1272,"Pooja Joshi Industries",2218.52,"High Value"
C1341,"Isha Singh Group",2218.52,"High Value"
C1381,"Diya Nair Systems",2218.52,"High Value"
C1385,"Vihaan Das Group",2218.52,"High Value"
C1009,"Rohan Patel Technologies",2098.6,"High Value"
C1018,"Myra Khan Systems",2098.6,"High Value"
C1100,"Priya Gupta Solutions",2098.6,"High Value"
C1155,"Naveen Verma Technologies",2098.6,"High Value"
C1162,"Divya Nair Technologies",2098.6,"High Value"
C1241,"Rohan Iyer Group",2098.6,"High Value"
C1252,"Meera Sharma Industries",2098.6,"High Value"
C1267,"Nikita Rao Industries",2098.6,"High Value"
C1281,"Farhan Das Group",2098.6,"High Value"
C1327,"Nikita Menon Group",2098.6,"High Value"
C1369,"Meera Reddy Industries",2098.6,"High Value"
C1384,"Arjun Joshi Technologies",2098.6,"High Value"
C1012,"Meera Patel Labs",1978.68,"High Value"
C1035,"Arjun Gupta Industries",1978.68,"High Value"
C1037,"Diya Das Industries",1978.68,"High Value"
C1149,"Vivaan Verma Technologies",1978.68,"High Value"
C1182,"Arun Menon Labs",1978.68,"High Value"
C1250,"Sai Rao Industries",1978.68,"High Value"
C1256,"Sai Gupta Technologies",1978.68,"High Value"
C1261,"Reyansh Menon Labs",1978.68,"High Value"
C1282,"Nikita Menon Solutions",1978.68,"High Value"
C1284,"Zoya Das Group",1978.68,"High Value"
C1313,"Krishna Joshi Solutions",1978.68,"High Value"
C1334,"Sai Menon Group",1978.68,"High Value"
C1350,"Deepak Gupta Labs",1978.68,"High Value"
C1364,"Aarav Bose Labs",1978.68,"High Value"
C1013,"Farhan Das Industries",1931.28,"High Value"
C1094,"Isha Nair Solutions",1858.76,"High Value"
C1121,"Ishaan Singh Group",1858.76,"High Value"
C1201,"Naveen Patel Labs",1858.76,"High Value"
C1217,"Sai Iyer Industries",1858.76,"High Value"
C1257,"Vihaan Patel Solutions",1858.76,"High Value"
C1050,"Arun Khan Solutions",1825.3600000000001,"High Value"
C1239,"Pooja Nair Solutions",1738.84,"High Value"
C1006,"Sanjay Reddy Labs",1618.92,"High Value"
C1288,"Kiara Das Labs",1618.92,"High Value"
C1380,"Ishaan Reddy Labs",1618.92,"High Value"
C1275,"Nikita Verma Technologies",1499,"High Value"
C1202,"Karthik Iyer Labs",1112.88,"High Value"
C1230,"Ishaan Patel Industries",1009.04,"High Value"
C1016,"Diya Singh Industries",978.04,"Medium Value"
C1397,"Divya Reddy Group",938.12,"Medium Value"
C1065,"Priya Verma Systems",898.2,"Medium Value"
C1224,"Isha Patel Technologies",898.2,"Medium Value"
C1129,"Farhan Reddy Labs",858.28,"Medium Value"
C1203,"Saanvi Reddy Industries",858.28,"Medium Value"
C1008,"Nikita Gupta Solutions",818.36,"Medium Value"
C1054,"Arjun Bose Group",818.36,"Medium Value"
C1086,"Karthik Sharma Systems",818.36,"Medium Value"
C1098,"Myra Nair Systems",818.36,"Medium Value"
C1172,"Reyansh Menon Industries",818.36,"Medium Value"
C1184,"Meera Verma Group",818.36,"Medium Value"
C1222,"Aarav Verma Labs",818.36,"Medium Value"
C1251,"Diya Khan Group",818.36,"Medium Value"
C1260,"Meera Iyer Technologies",818.36,"Medium Value"
C1273,"Ananya Menon Systems",818.36,"Medium Value"
