CustomerID,CompanyName,TotalMRR
C1005,"Tara Joshi Systems",618.76
C1006,"Sanjay Reddy Labs",1618.92
C1007,"Sai Das Technologies",658.68
C1008,"Nikita Gupta Solutions",818.36
C1009,"Rohan Patel Technologies",2098.6
C1012,"Meera Patel Labs",1978.68
C1013,"Farhan Das Industries",1931.28
C1016,"Diya Singh Industries",978.04
C1018,"Myra Khan Systems",2098.6
C1023,"Meera Menon Industries",778.44
C1026,"Vivaan Singh Solutions",698.6
C1027,"Vihaan Bose Group",778.44
C1029,"Sai Khan Technologies",698.6
C1030,"Rohan Bose Solutions",2458.36
C1034,"Sneha Rao Industries",2578.28
C1035,"Arjun Gupta Industries",1978.68
C1037,"Diya Das Industries",1978.68
C1043,"Aadhya Khan Systems",698.6
C1045,"Kavya Verma Solutions",2578.28
C1048,"Aman Singh Labs",658.68
C1049,"Farhan Gupta Labs",4676.88
C1050,"Arun Khan Solutions",1825.3600000000001
C1054,"Arjun Bose Group",818.36
C1056,"Kavya Rao Systems",658.68
C1059,"Myra Verma Labs",658.68
C1065,"Priya Verma Systems",898.2
C1075,"Ishaan Khan Industries",738.52
C1076,"Arun Khan Labs",2542.6400000000003
C1079,"Arun Rao Industries",778.44
C1085,"Aditya Reddy Group",618.76
C1086,"Karthik Sharma Systems",818.36
C1091,"Myra Nair Solutions",618.76
C1093,"Aarav Joshi Technologies",658.68
C1094,"Isha Nair Solutions",1858.76
C1098,"Myra Nair Systems",818.36
C1100,"Priya Gupta Solutions",2098.6
C1102,"Deepak Iyer Solutions",2218.52
C1103,"Pooja Menon Group",3057.96
C1105,"Riya Gupta Labs",698.6
C1111,"Priya Khan Industries",658.68
C1113,"Riya Iyer Technologies",2578.28
C1117,"Arun Gupta Labs",738.52
C1121,"Ishaan Singh Group",1858.76
C1129,"Farhan Reddy Labs",858.28
C1132,"Sneha Khan Solutions",775.04
C1144,"Aditya Sharma Technologies",2698.2
C1148,"Divya Bose Solutions",778.44
C1149,"Vivaan Verma Technologies",1978.68
C1151,"Aman Gupta Solutions",778.44
C1153,"Aadhya Patel Solutions",618.76
C1154,"Kiara Das Group",723.3599999999999
C1155,"Naveen Verma Technologies",2098.6
C1156,"Diya Sharma Technologies",2218.52
C1162,"Divya Nair Technologies",2098.6
