CustomerID,CompanyName,TotalMRR,RevenueRank
C1049,"Farhan Gupta Labs",4676.88,1
C1194,"Zoya Bose Group",3957.3599999999997,2
C1395,"Deepak Patel Labs",3177.88,3
C1103,"Pooja Menon Group",3057.96,4
C1144,"Aditya Sharma Technologies",2698.2,5
C1242,"Deepak Bose Group",2648.88,6
C1034,"Sneha Rao Industries",2578.28,7
C1045,"Kavya Verma Solutions",2578.28,7
C1113,"Riya Iyer Technologies",2578.28,7
C1195,"Aman Gupta Labs",2578.28,7
C1290,"Riya Singh Systems",2578.28,7
C1352,"Aditya Patel Industries",2578.28,7
C1076,"Arun Khan Labs",2542.6400000000003,13
C1412,"Farhan Verma Solutions",2534.8,14
C1030,"Rohan Bose Solutions",2458.36,15
C1308,"Naveen Gupta Labs",2458.36,15
C1324,"Karthik Reddy Technologies",2458.36,15
C1349,"Krishna Joshi Systems",2458.36,15
C1166,"Deepak Joshi Industries",2338.44,19
C1204,"Aman Reddy Systems",2338.44,19
C1263,"Deepak Reddy Industries",2338.44,19
C1325,"Ishaan Reddy Group",2338.44,19
C1102,"Deepak Iyer Solutions",2218.52,23
C1156,"Diya Sharma Technologies",2218.52,23
C1198,"Ananya Sharma Labs",2218.52,23
C1272,"Pooja Joshi Industries",2218.52,23
C1341,"Isha Singh Group",2218.52,23
C1381,"Diya Nair Systems",2218.52,23
C1385,"Vihaan Das Group",2218.52,23
C1009,"Rohan Patel Technologies",2098.6,30
C1018,"Myra Khan Systems",2098.6,30
C1100,"Priya Gupta Solutions",2098.6,30
C1155,"Naveen Verma Technologies",2098.6,30
C1162,"Divya Nair Technologies",2098.6,30
C1241,"Rohan Iyer Group",2098.6,30
C1252,"Meera Sharma Industries",2098.6,30
C1267,"Nikita Rao Industries",2098.6,30
C1281,"Farhan Das Group",2098.6,30
C1327,"Nikita Menon Group",2098.6,30
C1369,"Meera Reddy Industries",2098.6,30
C1384,"Arjun Joshi Technologies",2098.6,30
C1012,"Meera Patel Labs",1978.68,42
C1035,"Arjun Gupta Industries",1978.68,42
C1037,"Diya Das Industries",1978.68,42
C1149,"Vivaan Verma Technologies",1978.68,42
C1182,"Arun Menon Labs",1978.68,42
C1250,"Sai Rao Industries",1978.68,42
C1256,"Sai Gupta Technologies",1978.68,42
C1261,"Reyansh Menon Labs",1978.68,42
C1282,"Nikita Menon Solutions",1978.68,42
C1284,"Zoya Das Group",1978.68,42
C1313,"Krishna Joshi Solutions",1978.68,42
C1334,"Sai Menon Group",1978.68,42
C1350,"Deepak Gupta Labs",1978.68,42
C1364,"Aarav Bose Labs",1978.68,42
C1013,"Farhan Das Industries",1931.28,56
C1094,"Isha Nair Solutions",1858.76,57
C1121,"Ishaan Singh Group",1858.76,57
C1201,"Naveen Patel Labs",1858.76,57
C1217,"Sai Iyer Industries",1858.76,57
C1257,"Vihaan Patel Solutions",1858.76,57
C1050,"Arun Khan Solutions",1825.3600000000001,62
C1239,"Pooja Nair Solutions",1738.84,63
C1006,"Sanjay Reddy Labs",1618.92,64
C1288,"Kiara Das Labs",1618.92,64
C1380,"Ishaan Reddy Labs",1618.92,64
C1275,"Nikita Verma Technologies",1499,67
C1202,"Karthik Iyer Labs",1112.88,68
C1230,"Ishaan Patel Industries",1009.04,69
C1016,"Diya Singh Industries",978.04,70
C1397,"Divya Reddy Group",938.12,71
C1065,"Priya Verma Systems",898.2,72
C1224,"Isha Patel Technologies",898.2,72
C1129,"Farhan Reddy Labs",858.28,74
C1203,"Saanvi Reddy Industries",858.28,74
C1008,"Nikita Gupta Solutions",818.36,76
C1054,"Arjun Bose Group",818.36,76
C1086,"Karthik Sharma Systems",818.36,76
C1098,"Myra Nair Systems",818.36,76
C1172,"Reyansh Menon Industries",818.36,76
C1184,"Meera Verma Group",818.36,76
C1222,"Aarav Verma Labs",818.36,76
C1251,"Diya Khan Group",818.36,76
C1260,"Meera Iyer Technologies",818.36,76
C1273,"Ananya Menon Systems",818.36,76
C1023,"Meera Menon Industries",778.44,86
C1027,"Vihaan Bose Group",778.44,86
C1079,"Arun Rao Industries",778.44,86
C1148,"Divya Bose Solutions",778.44,86
C1151,"Aman Gupta Solutions",778.44,86
C1188,"Tara Rao Industries",778.44,86
C1205,"Isha Joshi Labs",778.44,86
C1259,"Priya Reddy Systems",778.44,86
C1285,"Isha Verma Solutions",778.44,86
C1302,"Ishaan Singh Industries",778.44,86
C1310,"Riya Das Technologies",778.44,86
C1335,"Karthik Rao Systems",778.44,86
C1365,"Diya Joshi Industries",778.44,86
C1374,"Ananya Joshi Industries",778.44,86
C1404,"Rahul Nair Labs",778.44,86
C1415,"Sneha Rao Group",778.44,86
C1132,"Sneha Khan Solutions",775.04,102
C1075,"Ishaan Khan Industries",738.52,103
C1117,"Arun Gupta Labs",738.52,103
C1186,"Diya Rao Technologies",738.52,103
C1206,"Zoya Gupta Group",738.52,103
C1232,"Rohan Bose Systems",738.52,103
C1247,"Karthik Sharma Technologies",738.52,103
C1248,"Farhan Bose Solutions",738.52,103
C1389,"Meera Sharma Industries",738.52,103
C1407,"Meera Gupta Labs",738.52,103
C1154,"Kiara Das Group",723.3599999999999,112
C1026,"Vivaan Singh Solutions",698.6,113
C1029,"Sai Khan Technologies",698.6,113
C1043,"Aadhya Khan Systems",698.6,113
C1105,"Riya Gupta Labs",698.6,113
C1227,"Karthik Das Industries",698.6,113
C1249,"Ananya Singh Solutions",698.6,113
C1264,"Aarav Nair Solutions",698.6,113
C1297,"Naveen Sharma Technologies",698.6,113
C1377,"Zoya Bose Technologies",698.6,113
C1007,"Sai Das Technologies",658.68,122
C1048,"Aman Singh Labs",658.68,122
C1056,"Kavya Rao Systems",658.68,122
C1059,"Myra Verma Labs",658.68,122
C1093,"Aarav Joshi Technologies",658.68,122
C1111,"Priya Khan Industries",658.68,122
C1169,"Reyansh Menon Solutions",658.68,122
C1209,"Rahul Khan Systems",658.68,122
C1220,"Diya Rao Solutions",658.68,122
C1258,"Myra Verma Technologies",658.68,122
C1296,"Saanvi Khan Group",658.68,122
C1336,"Sai Reddy Industries",658.68,122
C1359,"Aman Rao Group",658.68,122
C1361,"Meera Khan Systems",658.68,122
C1370,"Arun Joshi Group",658.68,122
C1399,"Aman Patel Technologies",658.68,122
C1416,"Sneha Sharma Systems",658.68,122
C1005,"Tara Joshi Systems",618.76,139
C1085,"Aditya Reddy Group",618.76,139
C1091,"Myra Nair Solutions",618.76,139
C1153,"Aadhya Patel Solutions",618.76,139
C1246,"Aditya Sharma Group",618.76,139
C1332,"Diya Singh Labs",618.76,139
C1348,"Aditya Menon Labs",618.76,139
C1356,"Divya Joshi Industries",618.76,139
C1150,"Rahul Singh Technologies",578.84,147
C1187,"Pooja Gupta Group",578.84,147
C1233,"Deepak Patel Labs",578.84,147
C1212,"Sai Verma Solutions",538.92,150
C1330,"Ananya Sharma Group",538.92,150
C1131,"Aditya Menon Industries",525.36,152
C1041,"Sanjay Khan Systems",437.8,153
C1214,"Sneha Sharma Technologies",405.96,154
C1183,"Sanjay Gupta Labs",402.8,155
C1052,"Aadhya Reddy Labs",390.04,156
C1378,"Sneha Reddy Solutions",383.20000000000005,157
C1299,"Rahul Iyer Group",374.12,158
C1062,"Kavya Das Solutions",358.2,159
C1237,"Arun Rao Systems",358.2,159
C1294,"Meera Singh Group",358.2,159
C1033,"Arun Sharma Industries",342.28,162
C1137,"Arun Verma Labs",342.28,162
C1190,"Myra Joshi Solutions",342.28,162
C1262,"Arun Joshi Group",342.28,162
C1266,"Arun Nair Systems",342.28,162
C1274,"Aadhya Khan Systems",342.28,162
C1316,"Deepak Reddy Group",342.28,162
C1328,"Karthik Nair Labs",342.28,162
C1338,"Aadhya Singh Systems",342.28,162
C1401,"Naveen Gupta Solutions",342.28,162
C1019,"Deepak Nair Labs",326.36,172
C1040,"Reyansh Nair Labs",326.36,172
C1067,"Tara Khan Group",326.36,172
C1071,"Arjun Patel Labs",326.36,172
C1090,"Aarav Menon Group",326.36,172
C1142,"Kavya Reddy Technologies",326.36,172
C1178,"Isha Menon Solutions",326.36,172
C1286,"Krishna Khan Solutions",326.36,172
C1312,"Saanvi Bose Labs",326.36,172
C1317,"Divya Patel Systems",326.36,172
C1320,"Vihaan Nair Labs",326.36,172
C1346,"Krishna Sharma Group",326.36,172
C1396,"Sai Joshi Systems",326.36,172
C1398,"Zoya Rao Group",326.36,172
C1410,"Isha Khan Technologies",326.36,172
C1414,"Zoya Joshi Solutions",326.36,172
C1417,"Naveen Patel Technologies",326.36,172
C1418,"Naveen Patel Technologies",326.36,172
C1053,"Sanjay Joshi Group",310.44,190
C1061,"Isha Gupta Group",310.44,190
C1080,"Rohan Sharma Group",310.44,190
C1088,"Reyansh Das Technologies",310.44,190
C1096,"Deepak Gupta Labs",310.44,190
C1120,"Pooja Rao Solutions",310.44,190
C1122,"Aarav Gupta Technologies",310.44,190
C1189,"Kiara Patel Group",310.44,190
C1207,"Sneha Gupta Technologies",310.44,190
C1254,"Rohan Nair Technologies",310.44,190
C1255,"Riya Joshi Labs",310.44,190
C1314,"Isha Joshi Industries",310.44,190
C1331,"Krishna Bose Industries",310.44,190
C1363,"Pooja Gupta Group",310.44,190
C1376,"Vivaan Khan Systems",310.44,190
C1387,"Arun Nair Solutions",310.44,190
C1388,"Sai Bose Group",310.44,190
C1028,"Ananya Gupta Solutions",294.52,207
C1031,"Isha Khan Technologies",294.52,207
C1046,"Tara Patel Industries",294.52,207
C1074,"Priya Khan Group",294.52,207
C1082,"Aadhya Nair Systems",294.52,207
C1084,"Meera Patel Industries",294.52,207
C1089,"Reyansh Bose Solutions",294.52,207
C1101,"Zoya Bose Industries",294.52,207
C1110,"Tara Sharma Solutions",294.52,207
C1136,"Deepak Bose Group",294.52,207
C1146,"Priya Iyer Technologies",294.52,207
C1152,"Nikita Verma Technologies",294.52,207
C1171,"Aditya Khan Industries",294.52,207
C1185,"Zoya Rao Labs",294.52,207
C1211,"Krishna Iyer Solutions",294.52,207
C1265,"Aditya Reddy Solutions",294.52,207
C1269,"Aadhya Patel Solutions",294.52,207
C1270,"Farhan Menon Group",294.52,207
